"res_entry_id","political_function"
"CH_Bringolf_Richard_1899__1","NT_LE-LH_T3_NA_01"
"CH_Bringolf_Walther_1895__1","NT_LE-LH_T3_NA_01"
"CH_Brochon_Albert_1899__1","NT_LE-LH_T3_NA_01"
"CH_Brochon_Albert_1899__2","NT_LE-LH_T3_NA_01"
"CH_Brodbeck_Paul_1890__1","NT_LE-UH_T3_NA_01"
"CH_Broennimann_Andreas_1955__1","NT_LE-LH_T3_NA_01"
"CH_Broger_Johann_1897__1","NT_LE-LH_T3_NA_01"
"CH_Broger_Raymond_1916__1","NT_LE-UH_T3_NA_01"
"CH_Broger_Raymond_1916__2","NT_LE-LH_T3_NA_01"
"CH_Brogle_Theodor_1893__1","NT_LE-LH_T3_NA_01"
"CH_Brosi_Georg_1916__1","NT_LE-LH_T3_NA_01"
"CH_Bruderer_Jakob_1890__1","NT_LE-LH_T3_NA_01"
"CH_Bruderer_Pascale_1977__1","NT_LE-UH_T3_NA_01"
"CH_Bruderer_Pascale_1977__2","NT_LE-LH_T3_NA_01"
"CH_Bruegger_Cyrill_1938__1","NT_LE-LH_T3_NA_01"
"CH_Bruggmann_Paul_1913__1","NT_LE-LH_T3_NA_01"
"CH_Bruhin_Armin_1912__1","NT_LE-LH_T3_NA_01"
"CH_Brun_Franz_1943__1","NT_LE-LH_T3_NA_01"
"CH_Brunner_Andreas_1923__1","NT_LE-LH_T3_NA_01"
"CH_Brunner_Christiane_1947__1","NT_LE-UH_T3_NA_01"
"CH_Brunner_Christiane_1947__2","NT_LE-LH_T3_NA_01"
"CH_Brunner_Hansjoerg_1966__1","NT_LE-LH_T3_NA_01"
"CH_Brunner_Max_1893__1","NT_LE-LH_T3_NA_01"
"CH_Brunner_Toni_1974__1","NT_LE-LH_T3_NA_01"
"CH_Brunschwig_Martine_1950__1","NT_LE-LH_T3_NA_01"
"CH_Bucher_Kurt_1898__1","NT_LE-LH_T3_NA_01"
"CH_Bucher_Kurt_1898__2","NT_LE-LH_T3_NA_01"
"CH_Bucher_Rudolf_1899__1","NT_LE-LH_T3_NA_01"
"CH_Buechel_Roland_1965__1","NT_LE-LH_T3_NA_01"
"CH_Buechi_Traugott_1907__1","NT_LE-LH_T3_NA_01"
"CH_Buechler_Jakob_1952__1","NT_LE-LH_T3_NA_01"
"CH_Buehler_Christian_1903__1","NT_LE-LH_T3_NA_01"
"CH_Buehler_Manfred_1979__1","NT_LE-LH_T3_NA_01"
"CH_Buehler_Rene_1905__1","NT_LE-LH_T3_NA_01"
"CH_Buehler_Robert_1902__1","NT_LE-LH_T3_NA_01"
"CH_Buehler_Robert_1902__2","NT_LE-LH_T3_NA_01"
"CH_Buehler_Robert_1928__1","NT_LE-UH_T3_NA_01"
"CH_Buehler_Rolf_1903__1","NT_LE-LH_T3_NA_01"
"CH_Buehler_Rolf_1903__2","NT_LE-LH_T3_NA_01"
"CH_Buehler_Simeon_1942__1","NT_LE-LH_T3_NA_01"
"CH_Buehlmann_Cecile_1949__1","NT_LE-LH_T3_NA_01"
"CH_Buehrer_Esther_1926__1","NT_LE-UH_T3_NA_01"
"CH_Buehrer_Gerold_1948__1","NT_LE-LH_T3_NA_01"
"CH_Buehrer_Julius_1890__1","NT_LE-UH_T3_NA_01"
"CH_Buerer_Kurt_1925__1","NT_LE-LH_T3_NA_01"
"CH_Buergi_Hermann_1946__30","NT_LE-UH_T3_NA_01"
"CH_Buergi_Jakob_1934__1","NT_LE-LH_T3_NA_01"
"CH_Buergi_Paul_1921__1","NT_LE-UH_T3_NA_01"
"CH_Buergi_Paul_1921__2","NT_LE-LH_T3_NA_01"
"CH_Buerki_Ernst_1882__1","NT_LE-LH_T3_NA_01"
"CH_Buettiker_Rolf_1950__1","NT_LE-UH_T3_NA_01"
"CH_Buettiker_Rolf_1950__2","NT_LE-LH_T3_NA_01"
"CH_Buffat_Michael_1979__1","NT_LE-LH_T3_NA_01"
"CH_Bugnon_Andre_1947__1","NT_LE-LH_T3_NA_01"
"CH_Bugnon_Fabienne_1959__1","NT_LE-LH_T3_NA_01"
"CH_Bulliard_Christine_1959__1","NT_LE-LH_T3_NA_01"
"CH_Bundi_Martin_1932__1","NT_LE-LH_T3_NA_01"
"CH_Burckhardt_Martin_1921__1","NT_LE-LH_T3_NA_01"
"CH_Burgdorfer_Paul_1903__1","NT_LE-LH_T3_NA_01"
"CH_Burgener_Thomas_1954__1","NT_LE-LH_T3_NA_01"
"CH_Burgherr_Thomas_1962__1","NT_LE-LH_T3_NA_01"
"CH_Buri_Dewet_1901__1","NT_LE-UH_T3_NA_01"
"CH_Buri_Dewet_1901__2","NT_LE-LH_T3_NA_01"
"CH_Burkart_Thierry_1975__1","NT_LE-LH_T3_NA_01"
"CH_Burkhalter_Didier_1960__1","NT_LE-UH_T3_NA_01"
"CH_Burkhalter_Didier_1960__2","NT_LE-LH_T3_NA_01"
"CH_Burren_Hans_1915__1","NT_LE-LH_T3_NA_01"
"CH_Burri_Ignaz_1872__1","NT_LE-LH_T3_NA_01"
"CH_Burrus_Henry_1882__1","NT_LE-LH_T3_NA_01"
"CH_Bussey_Alfred_1915__1","NT_LE-LH_T3_NA_01"
"CH_Bustelli_Guido_1905__1","NT_LE-LH_T3_NA_01"
"CH_Buttet_Yannick_1977__1","NT_LE-LH_T3_NA_01"
"CH_Butty_Laurent_1925__1","NT_LE-LH_T3_NA_01"
"CH_Caccia_Fulvio_1942__1","NT_LE-LH_T3_NA_01"
"CH_Cadruvi_Donat_1923__1","NT_LE-LH_T3_NA_01"
"CH_Calame_Andre_1898__1","NT_LE-LH_T3_NA_01"
"CH_Camenzind_Margrit_1939__1","NT_LE-LH_T3_NA_01"
"CH_Campell_Duri_1963__1","NT_LE-LH_T3_NA_01"
"CH_Camponovo_Geo_1937__1","NT_LE-LH_T3_NA_01"
"CH_Candaux_Pierre_1922__1","NT_LE-LH_T3_NA_01"
"CH_Candinas_Martin_1980__1","NT_LE-LH_T3_NA_01"
"CH_Canonica_Ezio_1922__1","NT_LE-LH_T3_NA_01"
"CH_Cantieni_Toni_1928__1","NT_LE-LH_T3_NA_01"
"CH_Carnat_Nicolas_1934__1","NT_LE-UH_T3_NA_01"
"CH_Carobbio_Marina_1966__1","NT_LE-LH_T3_NA_01"
"CH_Carobbio_Werner_1936__1","NT_LE-LH_T3_NA_01"
"CH_Caroni_Andrea_1980__1","NT_LE-UH_T3_NA_01"
"CH_Caroni_Andrea_1980__2","NT_LE-LH_T3_NA_01"
"CH_Caroni_Arrigo_1903__1","NT_LE-LH_T3_NA_01"
"CH_Carron_Henri_1886__1","NT_LE-LH_T3_NA_01"
"CH_Carruzzo_Felix_1925__1","NT_LE-LH_T3_NA_01"
"CH_Caspar_Elisabeth_1949__1","NT_LE-LH_T3_NA_01"
"CH_Cassis_Ignazio_1961__1","NT_LE-LH_T3_NA_01"
"CH_Cathomas_Sep_1945__1","NT_LE-LH_T3_NA_01"
"CH_Cattaneo_Rocco_1958__1","NT_LE-LH_T3_NA_01"
"CH_Cavadini_Adriano_1942__1","NT_LE-LH_T3_NA_01"
"CH_Cavadini_Jean_1936__1","NT_LE-UH_T3_NA_01"
"CH_Cavadini_Jean_1936__2","NT_LE-LH_T3_NA_01"
"CH_Cavalli_Franco_1942__1","NT_LE-LH_T3_NA_01"
"CH_Cavelty_Luregn_1935__1","NT_LE-UH_T3_NA_01"
"CH_Cavelty_Luregn_1935__2","NT_LE-LH_T3_NA_01"
"CH_Caviezel_Tarzisius_1954__1","NT_LE-LH_T3_NA_01"
"CH_Celio_Nello_1914__1","NT_LE-LH_T3_NA_01"
"CH_Cevey_Jean_1928__1","NT_LE-LH_T3_NA_01"
"CH_Chamorel_Jacques_1901__1","NT_LE-LH_T3_NA_01"
"CH_Chappuis_Liliane_1955__1","NT_LE-LH_T3_NA_01"
"CH_Chappuis_Liliane_1955__2","NT_LE-LH_T3_NA_01"
"CH_Chassot_Charles_1885__1","NT_LE-LH_T3_NA_01"
"CH_Chassot_Charles_1885__2","NT_LE-LH_T3_NA_01"
"CH_Chassot_Charles_1885__3","NT_LE-LH_T3_NA_01"
"CH_Chaudet_Paul_1904__1","NT_LE-LH_T3_NA_01"
"CH_Chavanne_Andre_1916__1","NT_LE-LH_T3_NA_01"
"CH_Chevallaz_Georges_1915__1","NT_LE-LH_T3_NA_01"
"CH_Chevallaz_Olivier_1946__1","NT_LE-LH_T3_NA_01"
"CH_Chevalley_Isabelle_1972__1","NT_LE-LH_T3_NA_01"
"CH_Chevalley_Samuel_1903__1","NT_LE-LH_T3_NA_01"
"CH_Chevrier_Maurice_1961__1","NT_LE-LH_T3_NA_01"
"CH_Chiesa_Marco_1974__1","NT_LE-LH_T3_NA_01"
"CH_Chiffelle_Pierre_1957__1","NT_LE-LH_T3_NA_01"
"CH_Choisy_Eric_1897__1","NT_LE-UH_T3_NA_01"
