"parliament_id","snapshot_day","pers_id","parliament_size"
"NL_NT-TK_1909",1909-09-22,"NL_Brummelkamp_Anthony_1839",100
"NL_NT-TK_1909",1909-09-22,"NL_deBeaufort_Willem_1845",100
"NL_NT-TK_1909",1909-09-22,"NL_deGeer_Dirk_1870",100
"NL_NT-TK_1909",1909-09-22,"NL_deJong_Albertus_1869",100
"NL_NT-TK_1909",1909-09-22,"NL_deKanter_Pieter_1868",100
"NL_NT-TK_1909",1909-09-22,"NL_deKlerk_Dirk_1852",100
"NL_NT-TK_1909",1909-09-22,"NL_deRam_Lambert_1842",100
"NL_NT-TK_1909",1909-09-22,"NL_deRidder_Nicolaas_1848",100
"NL_NT-TK_1909",1909-09-22,"NL_deSavornin_Alexander_1837",100
"NL_NT-TK_1909",1909-09-22,"NL_deStuers_Victor_1843",100
"NL_NT-TK_1909",1909-09-22,"NL_deVisser_Johannes_1857",100
"NL_NT-TK_1909",1909-09-22,"NL_deVlugt_Willem_1872",100
"NL_NT-TK_1909",1909-09-22,"NL_Dolk_Willem_1853",100
"NL_NT-TK_1909",1909-09-22,"NL_Drucker_Hendrik_1857",100
"NL_NT-TK_1909",1909-09-22,"NL_Duijs_Jan_1877",100
"NL_NT-TK_1909",1909-09-22,"NL_Duymaer_Lodewijk_1865",100
"NL_NT-TK_1909",1909-09-22,"NL_Duynstee_Theodorus_1858",100
"NL_NT-TK_1909",1909-09-22,"NL_Eland_Kornelis_1838",100
"NL_NT-TK_1909",1909-09-22,"NL_Elhorst_Gerrit_1865",100
"NL_NT-TK_1909",1909-09-22,"NL_Ferf_Petrus_1854",100
"NL_NT-TK_1909",1909-09-22,"NL_Fruytier_Petrus_1852",100
"NL_NT-TK_1909",1909-09-22,"NL_Goeman_Hendrik_1847",100
"NL_NT-TK_1909",1909-09-22,"NL_graafvanBylandt_Frederik_1841",100
"NL_NT-TK_1909",1909-09-22,"NL_graafvanLyndenvan_Alex_1873",100
"NL_NT-TK_1909",1909-09-22,"NL_Heemskerk_Jan_1867",100
"NL_NT-TK_1909",1909-09-22,"NL_Helsdingen_Willem_1850",100
"NL_NT-TK_1909",1909-09-22,"NL_Hubrecht_Henri_1844",100
"NL_NT-TK_1909",1909-09-22,"NL_Hugenholtz_Frederik_1868",100
"NL_NT-TK_1909",1909-09-22,"NL_Jannink_Gerrit_1865",100
"NL_NT-TK_1909",1909-09-22,"NL_Jansen_Joannes_1840",100
"NL_NT-TK_1909",1909-09-22,"NL_Janssen_Francois_1871",100
