sep=,
"parliament_id","leg_period_start","leg_period_end","level","country_abb","region_abb","leg_period","assembly_name","assembly_abb","coalition_parties","previous_parliament","next_parliament","parliament_size","election_date","election_type"
"US_NT-SE_1865","04mar1865","03mar1867","NT","US",NA,39,"Senate","SE",NA,"US_NT-SE_1863","US_NT-SE_1867",74,"08nov1864","regular"
"US_NT-HR_1867","04mar1867","03mar1869","NT","US",NA,40,"House of Representatives","HR",NA,"US_NT-HR_1865","US_NT-HR_1869",193,"06nov1866","regular"
"US_NT-SE_1867","04mar1867","03mar1869","NT","US",NA,40,"Senate","SE",NA,"US_NT-SE_1865","US_NT-SE_1869",74,"06nov1866","regular"
"US_NT-HR_1869","04mar1869","03mar1871","NT","US",NA,41,"House of Representatives","HR",NA,"US_NT-HR_1867","US_NT-HR_1871",193,"03nov1868","regular"
"US_NT-SE_1869","04mar1869","03mar1871","NT","US",NA,41,"Senate","SE",NA,"US_NT-SE_1867","US_NT-SE_1871",74,"03nov1868","regular"
"US_NT-HR_1871","04mar1871","03mar1873","NT","US",NA,42,"House of Representatives","HR",NA,"US_NT-HR_1869","US_NT-HR_1873",243,"08nov1870","regular"
"US_NT-SE_1871","04mar1871","03mar1873","NT","US",NA,42,"Senate","SE",NA,"US_NT-SE_1869","US_NT-SE_1873",74,"08nov1870","regular"
"US_NT-HR_1873","04mar1873","03mar1875","NT","US",NA,43,"House of Representatives","HR",NA,"US_NT-HR_1871","US_NT-HR_1875",292,"05nov1872","regular"
"US_NT-SE_1873","04mar1873","03mar1875","NT","US",NA,43,"Senate","SE",NA,"US_NT-SE_1871","US_NT-SE_1875",74,"05nov1872","regular"
"US_NT-HR_1875","04mar1875","03mar1877","NT","US",NA,44,"House of Representatives","HR",NA,"US_NT-HR_1873","US_NT-HR_1877",293,"03nov1874","regular"
"US_NT-SE_1875","04mar1875","03mar1877","NT","US",NA,44,"Senate","SE",NA,"US_NT-SE_1873","US_NT-SE_1877",76,"03nov1874","regular"
"US_NT-HR_1877","04mar1877","03mar1879","NT","US",NA,45,"House of Representatives","HR",NA,"US_NT-HR_1875","US_NT-HR_1879",293,"07nov1876","regular"
"US_NT-SE_1877","04mar1877","03mar1879","NT","US",NA,45,"Senate","SE",NA,"US_NT-SE_1875","US_NT-SE_1879",76,"07nov1876","regular"
"US_NT-HR_1879","04mar1879","03mar1881","NT","US",NA,46,"House of Representatives","HR",NA,"US_NT-HR_1877","US_NT-HR_1881",293,"05nov1878","regular"
"US_NT-SE_1879","04mar1879","03mar1881","NT","US",NA,46,"Senate","SE",NA,"US_NT-SE_1877","US_NT-SE_1881",76,"05nov1878","regular"
"US_NT-HR_1881","04mar1881","03mar1883","NT","US",NA,47,"House of Representatives","HR",NA,"US_NT-HR_1879","US_NT-HR_1883",293,"02nov1880","regular"
"US_NT-SE_1881","04mar1881","03mar1883","NT","US",NA,47,"Senate","SE",NA,"US_NT-SE_1879","US_NT-SE_1883",76,"02nov1880","regular"
"US_NT-HR_1883","04mar1883","03mar1885","NT","US",NA,48,"House of Representatives","HR",NA,"US_NT-HR_1881","US_NT-HR_1885",293,"07nov1882","regular"
"US_NT-SE_1883","04mar1883","03mar1885","NT","US",NA,48,"Senate","SE",NA,"US_NT-SE_1881","US_NT-SE_1885",76,"07nov1882","regular"
"US_NT-HR_1885","04mar1885","03mar1887","NT","US",NA,49,"House of Representatives","HR",NA,"US_NT-HR_1883","US_NT-HR_1887",325,"04nov1884","regular"
"US_NT-SE_1885","04mar1885","03mar1887","NT","US",NA,49,"Senate","SE",NA,"US_NT-SE_1883","US_NT-SE_1887",76,"04nov1884","regular"
"US_NT-HR_1887","04mar1887","03mar1889","NT","US",NA,50,"House of Representatives","HR",NA,"US_NT-HR_1885","US_NT-HR_1889",325,"02nov1886","regular"
"US_NT-SE_1887","04mar1887","03mar1889","NT","US",NA,50,"Senate","SE",NA,"US_NT-SE_1885","US_NT-SE_1889",76,"02nov1886","regular"
"US_NT-HR_1889","04mar1889","03mar1891","NT","US",NA,51,"House of Representatives","HR",NA,"US_NT-HR_1887","US_NT-HR_1891",325,"06nov1888","regular"
"US_NT-SE_1889","04mar1889","03mar1891","NT","US",NA,51,"Senate","SE",NA,"US_NT-SE_1887","US_NT-SE_1891",88,"06nov1888","regular"
"US_NT-HR_1891","04mar1891","03mar1893","NT","US",NA,52,"House of Representatives","HR",NA,"US_NT-HR_1889","US_NT-HR_1893",332,"04nov1890","regular"
"US_NT-SE_1891","04mar1891","03mar1893","NT","US",NA,52,"Senate","SE",NA,"US_NT-SE_1889","US_NT-SE_1893",88,"04nov1890","regular"
"US_NT-HR_1893","04mar1893","03mar1895","NT","US",NA,53,"House of Representatives","HR",NA,"US_NT-HR_1891","US_NT-HR_1895",356,"08nov1892","regular"
"US_NT-SE_1893","04mar1893","03mar1895","NT","US",NA,53,"Senate","SE",NA,"US_NT-SE_1891","US_NT-SE_1895",88,"08nov1892","regular"
"US_NT-HR_1895","04mar1895","03mar1897","NT","US",NA,54,"House of Representatives","HR",NA,"US_NT-HR_1893","US_NT-HR_1897",357,"06nov1894","regular"
"US_NT-SE_1895","04mar1895","03mar1897","NT","US",NA,54,"Senate","SE",NA,"US_NT-SE_1893","US_NT-SE_1897",90,"06nov1894","regular"
"US_NT-HR_1897","04mar1897","03mar1899","NT","US",NA,55,"House of Representatives","HR",NA,"US_NT-HR_1895","US_NT-HR_1899",357,"03nov1896","regular"
"US_NT-SE_1897","04mar1897","03mar1899","NT","US",NA,55,"Senate","SE",NA,"US_NT-SE_1895","US_NT-SE_1899",90,"03nov1896","regular"
"US_NT-HR_1899","04mar1899","03mar1901","NT","US",NA,56,"House of Representatives","HR",NA,"US_NT-HR_1897","US_NT-HR_1901",357,"08nov1898","regular"
"US_NT-SE_1899","04mar1899","03mar1901","NT","US",NA,56,"Senate","SE",NA,"US_NT-SE_1897","US_NT-SE_1901",90,"08nov1898","regular"
"US_NT-HR_1901","04mar1901","03mar1903","NT","US",NA,57,"House of Representatives","HR",NA,"US_NT-HR_1899","US_NT-HR_1903",357,"06nov1900","regular"
"US_NT-SE_1901","04mar1901","03mar1903","NT","US",NA,57,"Senate","SE",NA,"US_NT-SE_1899","US_NT-SE_1903",90,"06nov1900","regular"
"US_NT-HR_1903","04mar1903","03mar1905","NT","US",NA,58,"House of Representatives","HR",NA,"US_NT-HR_1901","US_NT-HR_1905",386,"04nov1902","regular"
"US_NT-SE_1903","04mar1903","03mar1905","NT","US",NA,58,"Senate","SE",NA,"US_NT-SE_1901","US_NT-SE_1905",90,"04nov1902","regular"
"US_NT-HR_1905","04mar1905","03mar1907","NT","US",NA,59,"House of Representatives","HR",NA,"US_NT-HR_1903","US_NT-HR_1907",386,"08nov1904","regular"
"US_NT-SE_1905","04mar1905","03mar1907","NT","US",NA,59,"Senate","SE",NA,"US_NT-SE_1903","US_NT-SE_1907",90,"08nov1904","regular"
